Número,Nombre_Enfermedad,Código_CIE10,Observaciones
1,2 3-metilcrotonil glicinuria,E711,
2,4 Abscesos asépticos sensibles a corticosteroides,D898,
3,7 Acatalasemia,E803,
4,9 Acidemia 3-0H-3ME-glutarica,E723,
5,10 Acidemia butirica,E711,
6,11 Acidemia cadena media,E711,
7,12 Acidemia glutárica I,E713,
8,13 Acidemia qlutárica II,E713,
9,14 Acidemia isovalérica,E711,
10,"15 Acidemia metilmalonica - homocistinuria, tipo cbl C",E721,
11,"16 Acidemia metilmalonica - homocistinuria, tipo cbl D",E721,
12,"17 Acidemia metilmalonica - homocistinuria, tipo cbl F",E721,
13,"18 Acidemia metilmalonica - vitamina B12 sensible, tipo cbl A",E711,
14,19 Acidemia orgánica no especificada,E711,
15,20 Acidemia piroqlutámica,D551,
16,21 Acidemia propiónica,E711,
17,24 Aciduria 3-mefilglutaconica tipo 1,E711,
18,25 Aciduria 3-metilglutaconica tipo 3,E711,
19,26 Aciduria 4 hidroxi-butirica,E728,
20,27 Aciduria argininosuccinica,E722,
21,28 Aciduria fumárica,E888,
22,29 Aciduria malónica,E728,
23,30 Aciduria metilmalónica con homocistinuria,E711,
24,31 Aciduria metilmalónica microcefalia cataratas,E711,
25,32 Aciduria mevalónica,E888,
26,33 Aciduria no especificada,E711,
27,34 Aciduria orotica hereditaria,D530,
28,42 Acrodermatitis enteropatica,E832,
29,44 Acromatopsia,H535,
30,45 Acromegalia,E220,
31,46 Acromegalia cutis gyrata,M894,
32,48 Acromelanosis,L814,
33,49 Acroosteolisis tipo dominante,M895,
34,50 Adamantinoma,C402,
35,53 AD-DKC (Mutacion en TINF2),D610,
36,54 AD-HIES (Sindrome de Hiperlgp Sindrome Job,D824,
37,55 Adrenoleucodistrofia ligada al cromosoma X,E713,
38,58 Afasia progresiva no fluida 	ii,G231,
39,59 Agamaglobulinemia (sin bases moleculares conocidas),D800,
40,60 Agamaglobulinemia (XLA)- Deficiencia BTK,D800,
41,62 Agammaglobulinemia ligada a X,D800,
42,63 Agenesia de cuerpo calloso — neuropatia,G600,
43,el gen Alfa 4,G114,
44,72 Albinismo con sordera,H905,
45,73 Albinismo cutáneo fenotipo Hermine,E703,
46,74 Albinismo ocular ligado al cromosoma X recesivo,E703,
47,75 Albinismo ocular sordera sensorial tardía,E703,
48,76 Albinismo oculo-cutáneo,E703,
49,77 Alcaptonuria 	 -,E702,
50,79 Alfa-manosidosis,E771,
51,80 ALPS-CASP10,D479,
52,82 Amaurosis — hipertricosis 	',H355,
53,83 Amaurosis congenita de Leber,H355,
54,86 Amiloidosis secundaria,E853,
55,89 Analbuminemia congénita,R770,
56,"92 Anemia diseritropoyetica, congénita",D644,
57,104 Angioedema adquirido,T783,
58,108 Angiomatosis neurocutanea hereditaria,D180,
59,"109 Angiomatosis quistica de hueso, difusa",E881,
60,"114 Aniridia, ataxia cerebelosa, y retraso mental",G110,
61,115 Anisakiasis,B810,
62,122 Anomalia de Duane - miopatia - escoliosis,H508,
63,129 Anomalias de cabellos - fotosensibilidad - retraso mental,L678,
64,139 APECED (APS-1),E310,
65,147 Apraxia ocular tipo Cogan 	 •,H518,
66,"151 Arañazo de qato, enfermedad del",A281,
67,155 Arqininemia,E722,
68,159 Arteiiris temporal juvenil,L958,
69,160 Arteritis de células gigantes,M316,
70,161 Artritis juvenil idiopática de inicio sistémico,M082,
71,162 Artritis relacionada con entesitis,M081,
72,170 Ataxia - apraxia - retraso mental ligado al cromosoma X,G318,
73,neurosensorial,G111,
74,172 Ataxia cerebelosa autosómica recesiva,G112,
75,174 Ataxia cerebelosa autosómica recesiva - intrusión sacádica,G111,
76,175 Ataxia de Friedreich,G111,
77,176 Ataxia de Harding,G111,
78,177 Ataxia episódica tipo 3,G118,
79,178 Ataxia episódica tipo 4,G118,
80,179 Ataxia episódica tipo 5,G118,
81,180 Ataxia episódica tipo 6,G118,
82,181 Ataxia episódica tipo 7,G118,
83,182 Ataxia espinocerebelosa autosómica dominante,G118,
84,183 Ataxia espinocerebelosa infantil,G111,
85,"184 Ataxia espinocerebelosa ligada al cromosoma X, de tipo 3",G111,
86,185 Ataxia espinocerebelosa tipo 1,G118,
87,186 Ataxia espinocerebelosa tipo 2,G112,
88,187 Ataxia espinocerebelosa tipo 3,G118,
89,188 Ataxia espinocerebelosa tipo 29,G110,
90,189 Ataxia espinocerebolosa tipo 30,G112,
91,190 Ataxia letal con sordera y atrofia óptica,E798,
92,191 Ataxia telangiectasia,G113,
93,"192 Ataxia, autosómica recesiva, tipo Beauce",G112,
94,198 Atireosis,E031,
95,199 Atransferrinemia,E880,
96,206 Atrofia dentato-rubro-palido-luisiana,G118,
97,207 Atrofia multisistémica,G903,
98,208 Atrofia muscular ataxia retinitis piqmentaria diabetes,G111,
99,210 Atrofia muscular espinal proximal,G120,
100,"211 Atrofia muscular espinal proximal de adultos, autosómica dominante",G121,
101,212 Atrofia muscular espinal proximal de tipo 1,G120,
102,213 Atrofia muscular espinal proximal de tipo 2,G121,
103,214 Atrofia muscular espinal proximal de tipo 3,G121,
104,215 Atrofia muscular espinal proximal de tipo 4,G121,
105,217 Atrofia óptica,H472,
106,218 Atrofia óptica autosómica dominante y cataratas,H472,
107,220 Atrofoderma lineal de Moulin,L908,
108,224 Bajo peso al nacer - enanismo -disgammaqlobulinemia,D822,
109,226 Beta-manosidosis,E771,
110,227 Beta-talasemia,D561,
111,231 Bradiopsia,H538,
112,249 CAMPS (CARD14 psoriasis mediada),E850,
113,APECED),E310,
114,258 CANDLE (mutación en PSMB8),L982,
115,259 CARD11 mutación con ganancia de función,D812,
116,264 Camosinemia,E708,
117,265 CASPASE 8 DEFECT,D479,
118,275 Cetoacidosis debida a Déficit de beta-cetotiolasa,E711,
119,276 Cirrosis biliar primaria,K743,
120,277 Cirrosis hereditaria de los niños indios de América del Norte,K746,
121,278 Cistationinuria,E721,
122,279 Cistinosis,E720,
123,280 Cistinuria,E720,
124,281 Citruhnemia,E722,
125,286 Colitis colagenosa,K528,
126,287 Colitis epitelio-exfoliativa - sordera,P783,
127,305 Conjuntivitis leñosa,H104,
128,308 Convulsiones - Déficit intelectual debido a hidroxilsinuria,E723,
129,309 Convulsiones neonatales-infantiles familiares benignas,G404,
130,310 Cordoma,C767,
131,312 Coroideremia,H312,
132,315 Cráneo-osteo-artropatia,M894,
133,345 Defecto en la activación K-Ras,D479,
134,346 Defecto en la activación N-Ras,D728,
135,349 Deficiencia de MCM4,D848,
136,353 Deficiencia de 10120,K528,
137,354 Deficiencia de Acetoacil CoA tiolasa,E711,
138,355 Deficiencia de ACT1,B372,
139,356 Deficiencia de ADAR1 (AGS6),G318,
140,357 Deficiencia de AD-IRF8,D848,
141,359 Deficiencia de anticuemos especificos (normal igG y células B),D806,
142,360 Deficiencia de AR-IRF8,D848,
143,361 Deficiencia de Artemis (DHLRE1C),D811,
144,362 Deficiencia de BLNK,D800,
145,365 Deficiencia de C1qB,L932,
146,366 Deficiencia de C1qC,L932,
147,367 Deficiencia de C1r,D841,
148,368 Deficiencia de C1s,D838,
149,372 Deficiencia de C4b,D841,
150,373 Deficiencia de C5,D841,
151,377 Deficiencia de C8b,D841,
152,378 Deficiencia de cadena pesada p,D808,
153,379 Deficiencia de cadena K,D808,
154,380 Deficiencia de CARD11,D812,
155,381 Deficiencia de CARD9,D848,
156,382 Deficiencia de CD16,D848,
157,384 Deficiencia de CO20,D838,
158,385 Deficiencia de CO21,D838,
159,387 Deficiencia de CD27,D479,
160,388 Deficiencia de CD3y (Gamma),D812,
161,389 Deficiencia de CD35 (Delta),D812,
162,394 Deficiencia de CD45,D812,
163,395 Deficiencia de CD46,D588,
164,397 Deficiencia de CD8,D848,
165,"401 Deficiencia de CGD, p40",D71X,
166,"402 Deficiencia de CGD, p47",D71X,
167,"403 Deficiencia de CGD, p67",D71X,
168,405 Deficiencia de CMC-IL-17F,E310,
169,406 Deficiencia de CMC-IL-17RA,E310,
170,408 Deficiencia de coronin-1A,D812,
171,409 Deficiencia de dihidrolipoil deshidrogenasa,E744,
172,410 Deficiencia de Dock 8,D811,
173,411 Deficiencia de Factor 8,D67X,
174,412 Deficiencia de Factor D,D841,
175,413 Deficiencia de Factor de transcripción E47,D800,
176,414 Deficiencia de Factor H,D841,
177,415 Deficiencia de Factor I,D841,
178,417 Deficiencia de Ficolin 3,D841,
179,418 Deficiencia de gránulos específicos,D71X,
180,419 Deficiencia de HOIL-1 _,E740,
181,420 Deficiencia de ICF1,E881,
182,423 Deficiencia de IgA con subclases de IgG,D808,
183,428 Deficiencia dell-10,E728,
184,429 Deficiencia de IL-10Ra,K528,
185,432 Deficiencia de ITCH,E310,
186,437 Deficiencia de Lipasa Acida,E755,
187,439 Deficiencia de Macrófaqo 0P91 Phox,D71X,
188,445 Deficiencia de MCM4,D848,
189,446 Deficiencia de MST1/STK4,E703,
190,447 Deficiencia de MTHFD1,D528,
191,451 Deficiencia de NFKB2,G113,
192,452 Deficiencia de NK cell,D848,
193,454 Deficiencia de oxoacyl CoA deshidrogenasa,E713,
194,"456 Deficiencia de perforina, FHL2",D818,
195,459 Deficiencia de PKcs DNA,D811,
196,461 Deficiencia de PNP,D815,
197,467 Deficiencia de Receptor BAFF,D830,
198,468 Deficiencia de RhoH,D848,
199,469 Deficiencia de RNF168,D828,
200,470 Deficiencia de SAMHD1 (AGS5),G318,
201,471 Deficiencia de SLC46A1,E161,
202,472 	. Deficiencia de STAT2,D848,
203,473 Deficiencia de STAT5b,D828,
204,474 Deficiencia de STIM-1,D818,
205,475 Deficiencia de 80(11 (FHL4),D761,
206,476 Deficiencia de Succinil-CoA Transferasa,E713,
207,477 Deficiencia de TACI (mutación TNFRSF13B),D838,
208,478 Deficiencia de TAP1/TAP2/Tapasin,D816,
209,480 Deficiencia de TCN2,D512,
210,481 Deficiencia de trombomodulin,D688,
211,482 Deficiencia de TyK2 .,D824,
212,483 Deficiencia de UNG,D805,
213,484 Deficiencia de WIPF1,D820,
214,"485 Deficiencia de XLP1, SH2D1A",D823,
215,"486 Deficiencia de XLP2, XIAP",D823,
216,487 Deficiencia de ZAP-70,D818,
217,488 Deficiencia de 13-Actin,E740,
218,489 Deficiencia de A5,D800,
219,490 Deficiencia en el receptor del complemento 2 CR2 (CD21),D841,
220,491 Deficiencia en el receptor del complemento 3 CR3,D841,
221,"492 Deficiencia selectiva de IgA """,D693,
222,494 Déficit combinado de los factores V y VIII,D688,
223,495 Déficit congénito de fibrinógeno,D682,
224,496 Déficit congénito de heparan-sulfato en los enterocitos,P783,
225,497 Déficit congénito de proteina C,D682,
226,498 Déficit congénito de proteina S,D685,
227,499 Déficit congénito de sacarasa-isomaltasa,E743,
228,"500 Déficit congénito de sintesis de ácidos biliares, tipo 4",K768,
229,501 Déficit congénito del factor II,D682,
230,502 Déficit congénito del factor IX,D67X,
231,503 Déficit congénito del factor V,D682,
232,504 Déficit congénito del factor VII,D682,
233,505 Déficit congénito del factor VIII,D66X,
234,506 Déficit congénito del factor X,D682,
235,507 Déficit congénito del factor XI,D681,
236,508 Déficit congénito del factor XIII,D682,
237,509 Déficit de 3-hidroxi 3-metilglutaril-CoA (HMG) sintetasa,E713,
238,cadena larga,E713,
239,511 Déficit de 5-oxoprolinasa,E728,
240,512 Déficit de 6-piruvil-tetrahidropterina sintasa,E701,
241,514 Déficit de aconitasa,G713,
242,515 Déficit de adenilsuccinato liasa,E798,
243,516 Déficit de adenosina monofosfato deaminasa,E798,
244,517 Déficit de adhesión leucodtaria tipo I,D848,
245,519 Déficit de adhesión leucocitaria tipo III,D848,
246,520 Déficit de aromatasa,E258,
247,521 Déficit de beta-ureidopropionasa,E798,
248,522 Déficit de biotinidasa,E538,
249,523 Déficit de carbamil-fosfato sintetasa,E722,
250,524 Déficit de camitina palmitoiltransferasa II,E713,
251,525 Déficit de camitina-acilcamitina translocasa,E713,
252,526 Déficit de deshidratasa,E701,
253,527 Déficit de Dihidropteridina reductasa,E701,
254,528 Déficit de dopamina beta-hidroxilasa,G908,
255,529 Déficit de enzima ramificante del glucógeno,E740,
256,530 Déficit de fosfoenolpiruvato carboxiquinasa,E744,
257,531 Déficit de fosfofructoquinasa muscular,E740,
258,532 Déficit de fosfoglicerato quinasa,E740,
259,"533 Déficit de fructosa-1,6 difosfatasa",E741,
260,534 Déficit de gamma aminobutidco ácido transaminasa,E728,
261,535 Déficit de gamma-glutamil transpeptidasa,E728,
262,536 Déficit de gamma-glutamilcisteina sintetasa,D551,
263,537 Déficit de glucógeno sintasa hepática,E740,
264,538 Déficit de glutation sintetasa,D551,
265,539 Déficit de GTP-ciclohidrolasa I,E701,
266,540 Déficit de guanidinoacetato metiltransferasa,E728,
267,541 Déficit de LCAT 	 •,E786,
268,542 Déficit de metil cobalamina de tipo cbl E,E721,
269,543 Déficit de metil cobalamina de tipo cbl G,E721,
270,544 Déficit de N5-metilhomocisteina transferasa,E721,
271,545 Déficit de N-acetil-alfa-D-galactosam nidasa,E771,
272,546 Déficit de ornitina carbamil transferasa,E724,
273,547 Déficit de prolidasa,E728,
274,548 Déficit de succinil-CoA acetoacetato transferasa .,E713,
275,549 Déficit de transaldolasa,E748,
276,550 Déficit de transportador de creatina ligado al cromosoma X,E728,
277,551 Déficit familiar aislado de glucocorticoides,E271,
278,553 Déficit intelectual tipo Kahrizi,E778,
279,554 Degeneración cortico-basal,G310,
280,557 Degeneración retiniana microftalmia glaucoma,H355,
281,562 Demencia frontotemporal,G310,
282,563 Demencia frontotemporal con inclusiones Tau,G310,
283,564 Demencia frontotemporal y parkinsonismo ligado al cromosoma 17,G310,
284,567 Dermatitis granulomatosa interstidal con artritis,M301,
285,568 Dermatitis seborreica-like con elementos psoriasiformes,L218,
286,570 Dermatoleucodistrofia,E752,
287,571 Dermatomiosilis,M330,
288,572 Dermatosis pustulosa subcórnea,L131,
289,573 Dermo odonto displasia,Q824,
290,574 Dermoide anular de la cornea,D311,
291,adenosiltransferasa,E721,
292,578 Desorden del metabolismo de los metales no especificados,E830,
293,579 Desordenes de la purinas y pirimidinas no especificados,E799,
294,580 Desordenes de los lipidos no especificados,E789,
295,581 Desordenes del sistema inmune no especificados,D899,
296,582 Desordenes del tejido conectivo no especificados,M351,
297,583 Desordenes lisosomales no especificados,E752,
298,584 Desordenes peroxisomales no especificados,E713,
299,586 Desprendimiento de retina regmatógeno autosómico dominante,H330,
300,587 Diabetes insipida nefrogénica,N251,
301,588 Diabetes mellitus neonata!,P702,
302,591 Diabetes-sordera de transmisión materna,E138,
303,enteroendocrinas,P783,
304,595 Diátesis hemorrágica por un defecto del receptor de colágeno,D698,
305,596 Dihidropirimidinuria,E798,
306,598 DIRA (IL1RN),D848,
307,600 Disautonomia familiar,G901,
308,603 Disfasia congénita familiar,F801,
309,cromosoma X,E310,
310,sintetasa,E728,
311,611 Disqenesia reticular (Deficiencia de AK2),D810,
312,633 Displasia broncopulmonar,P271,
313,637 Displasia craneodiafisaria,M852,
314,694 Displasia odontomaxilar seqmentaria,K004,
315,702 Disquinesia ciliar primaria ',J980,
316,"713 Distrofia coroidal, areolar central",H312,
317,714 Distrofia de conos con respuesta escotópica supranormal,H355,
318,715 Distrofia de conos y bastones,H355,
319,716 Distrofia de córnea - sordera de percepción,H185,
320,719 Distrofia macular de Carolina del Norte,H355,
321,749 Distrofia neuroaxonal infantil,G230,
