Número,Nombre_Enfermedad,Código_CIE10,Observaciones
1,3MC Sindrome de Deficiencia COLEC11,Q878,Código corregido de 0878 a Q878
2,3-metilcrotonil glicinuria,E711,
3,Sindrome Ablefaron macrostomia,Q870,Código corregido de 0870 a Q870
4,Abscesos asépticos sensibles a corticosteroides,D898,
5,Sindrome de Acalasia microcefalia,Q395,Código corregido de 0395 a Q395
6,Acalasia primaria,K220,
7,Acatalasemia,E803,
8,Aceruloplasminemia,Q230,Código corregido de 0230 a Q230
9,Acidemia 3-0H-3ME-glutarica,E723,
10,Acidemia butirica,E711,
11,Acidemia cadena media,E711,
12,Acidemia glutárica I,E713,
13,Acidemia qlutárica II,E713,
14,Acidemia isovalérica,E711,
15,"Acidemia metilmalonica - homocistinuria, tipo cbl C",E721,
16,"Acidemia metilmalonica - homocistinuria, tipo cbl D",E721,
17,"Acidemia metilmalonica - homocistinuria, tipo cbl F",E721,
18,"Acidemia metilmalonica - vitamina B12 sensible, tipo cbl A",E711,
19,Acidemia orgánica no especificada,E711,
19,Acidemia orgánica no especificada,E712,
20,Acidemia piroqlutámica,D551,
21,Acidemia propiónica,E711,
22,Acidemia succinica,Q713,Código corregido de 0713 a Q713
23,Acidosis láctica,Q713,Código corregido de 0713 a Q713
24,Aciduria 3-mefilglutaconica tipo 1,E711,
25,Aciduria 3-metilglutaconica tipo 3,E711,
26,Aciduria 4 hidroxi-butirica,E728,
27,Aciduria argininosuccinica,E722,
28,Aciduria fumárica,E888,
29,Aciduria malónica,E728,
30,Aciduria metilmalónica con homocistinuria,E711,
31,Aciduria metilmalónica microcefalia cataratas,E711,
32,Aciduria mevalónica,E888,
33,Aciduria no especificada,E711,
34,Aciduria orotica hereditaria,D530,
35,Acondrogénesis,Q770,Código corregido de 0770 a Q770
36,Acondroplasia,Q774,Código corregido de 0774 a Q774
37,Acondroplasia severa - retraso del desarrollo - acantosis nigricans,Q774,Código corregido de 0774 a Q774
38,Acortamiento congénito de fiqamento costocoracoide,Q688,Código corregido de 0688 a Q688
39,Acrania,Q758,Código corregido de 0758 a Q758
40,Acrocefalosindactilia (termino genérico),Q870,Código corregido de 0870 a Q870
41,Acrocraneofacial disostosis,Q870,Código corregido de 0870 a Q870
42,Acrodermatitis enteropatica,E832,
43,Acroesquifodisplasia metafisaria,Q785,Código corregido de 0785 a Q785
44,Acromatopsia,H535,
45,Acromegalia,E220,
46,Acromegalia cutis gyrata,M894,
47,"Acromeqaloide, facies",Q870,Código corregido de 0870 a Q870
48,Acromelanosis,L814,
49,Acroosteolisis tipo dominante,M895,
50,Adamantinoma,C402,
51,AD-DKC (Mutación en TERC),Q828,Código corregido de 0828 a Q828
52,AD-DKC (Mutacion en TERT),Q934,Código corregido de 0934 a Q934
53,AD-DKC (Mutacion en TINF2),D610,
54,AD-HIES (Sindrome de Hiperlgp Sindrome Job,D824,
55,Adrenoleucodistrofia ligada al cromosoma X,E713,
56,Afalanqia hemivertebras,Q878,Código corregido de 0878 a Q878
57,Afalangia sindactilia microcefalia,Q872,Código corregido de 0872 a Q872
58,Afasia progresiva no fluida ii,G231,
59,Agamaglobulinemia (sin bases moleculares conocidas),D800,
60,Agamaglobulinemia (XLA)- Deficiencia BTK,D800,
61,Agammaglobulinemia - microcefalia - craneosinostosis - dermatitis severa,Q870,Código corregido de 0870 a Q870
62,Agammaglobulinemia ligada a X,D800,
63,Agenesia de cuerpo calloso — neuropatia,G600,
64,"Agenesia de cuerpo calloso ligado al cromosoma X, con mutación en el gen Alfa 4",G114,
65,Agenesia de cuerpo calloso microcefalia talla baja,Q878,Código corregido de 0878 a Q878
66,Agenesia gonadal,Q991,Código corregido de 0991 a Q991
67,Agenesia parcial de páncreas,Q450,Código corregido de 0450 a Q450
68,Agenesia renal bilateral,Q800,Código corregido de 0800 a Q800
69,Agenesia traqueal,Q321,Código corregido de 0321 a Q321
