numero_colombia,nombre_colombia,codigo_cie10_colombia,codigo_cie10_formateado,encontrado,nivel_confianza,orpha_number,nombre_orphanet,codigos_cie10_orphanet,similitud,observaciones_colombia
1,3MC Sindrome de Deficiencia COLEC11,Q878,Q87.8,True,Alta,,Síndrome 3MC,Q87.8,100,Código corregido de 0878 a Q878
2,3-metilcrotonil glicinuria,E711,E71.1,True,Alta,,Deficiencia de 3-metilcrotonil-CoA carboxilasa,E71.1,100,
5,Sindrome de Acalasia microcefalia,Q395,Q39.5,True,Alta,,Síndrome de acalasia-microcefalia,Q39.5,100,Código corregido de 0395 a Q395
6,Acalasia primaria,K220,K22.0,True,Alta,,Acalasia idiopática,K22.0,100,
7,Acatalasemia,E803,E80.3,True,Alta,,Acatalasemia,E80.3,100,
8,Aceruloplasminemia,Q230,Q23.0,True,Alta,,Aceruloplasminemia,E83.1,100,Código corregido de 0230 a Q230
14,Acidemia isovalérica,E711,E71.1,True,Alta,,Acidemia isovalérica,E71.1,100,
21,Acidemia propiónica,E711,E71.1,True,Alta,,Acidemia propiónica,E71.1,100,
23,Acidosis láctica,Q713,Q71.3,True,Alta,,MELAS,G71.3,100,Código corregido de 0713 a Q713
28,Aciduria fumárica,E888,E88.8,True,Alta,,Aciduria fumárica,E88.8,100,
29,Aciduria malónica,E728,E72.8,True,Alta,,Aciduria malónica,E72.8,100,
30,Aciduria metilmalónica con homocistinuria,E711,E71.1,True,Alta,,Acidemia metilmalónica con homocistinuria,E71.1,100,
32,Aciduria mevalónica,E888,E88.8,True,Alta,,Aciduria mevalónica,E88.8,100,
35,Acondrogénesis,Q770,Q77.0,True,Alta,,Acondrogénesis,Q77.0,100,Código corregido de 0770 a Q770
36,Acondroplasia,Q774,Q77.4,True,Alta,,Acondroplasia,Q77.4,100,Código corregido de 0774 a Q774
37,Acondroplasia severa - retraso del desarrollo - acantosis nigricans,Q774,Q77.4,True,Alta,,Acondroplasia,Q77.4,100,Código corregido de 0774 a Q774
41,Acrocraneofacial disostosis,Q870,Q87.0,True,Alta,,Disostosis acrocraneofacial,Q87.0,100,Código corregido de 0870 a Q870
43,Acroesquifodisplasia metafisaria,Q785,Q78.5,True,Alta,,Acroesquifodisplasia metafisaria,,100,Código corregido de 0785 a Q785
44,Acromatopsia,H535,H53.5,True,Alta,,Acromatopsia,H53.5,100,
45,Acromegalia,E220,E22.0,True,Alta,,Acromegalia,E22.0,100,
46,Acromegalia cutis gyrata,M894,M89.4,True,Alta,,Acromegalia,E22.0,100,
48,Acromelanosis,L814,L81.4,True,Alta,,Acromelanosis,L81.4,100,
50,Adamantinoma,C402,C40.2,True,Alta,,Adamantinoma,C40.2,100,
