ORPHA_Number,ORPHA_URL,Nombre_Orphanet,CIE10_Orphanet,Numero_Colombia,Nombre_Colombia,CIE10_Colombia,Tipo_Match,Similitud,Observaciones_Colombia
,,Síndrome 3MC,Q87.8,1,3MC Sindrome de Deficiencia COLEC11,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Deficiencia de 3-metilcrotonil-CoA carboxilasa,E71.1,2,3-metilcrotonil glicinuria,E71.1,nombre_exacto,1.0,
,,Síndrome de acalasia-microcefalia,Q39.5,5,Sindrome de Acalasia microcefalia,Q39.5,nombre_exacto,1.0,Código corregido de 0395 a Q395
,,Acalasia idiopática,K22.0,6,Acalasia primaria,K22.0,nombre_exacto,1.0,
,,Acatalasemia,E80.3,7,Acatalasemia,E80.3,nombre_exacto,1.0,
,,Aceruloplasminemia,E83.1,8,Aceruloplasminemia,Q23.0,nombre_exacto,1.0,Código corregido de 0230 a Q230
,,Acidemia isovalérica,E71.1,14,Acidemia isovalérica,E71.1,nombre_exacto,1.0,
,,Acidemia propiónica,E71.1,21,Acidemia propiónica,E71.1,nombre_exacto,1.0,
,,MELAS,G71.3,23,Acidosis láctica,Q71.3,nombre_exacto,1.0,Código corregido de 0713 a Q713
,,Aciduria fumárica,E88.8,28,Aciduria fumárica,E88.8,nombre_exacto,1.0,
,,Aciduria malónica,E72.8,29,Aciduria malónica,E72.8,nombre_exacto,1.0,
,,Acidemia metilmalónica con homocistinuria,E71.1,30,Aciduria metilmalónica con homocistinuria,E71.1,nombre_exacto,1.0,
,,Aciduria mevalónica,E88.8,32,Aciduria mevalónica,E88.8,nombre_exacto,1.0,
,,Acondrogénesis,Q77.0,35,Acondrogénesis,Q77.0,nombre_exacto,1.0,Código corregido de 0770 a Q770
,,Acondroplasia,Q77.4,36,Acondroplasia,Q77.4,nombre_exacto,1.0,Código corregido de 0774 a Q774
,,Acondroplasia,Q77.4,37,Acondroplasia severa - retraso del desarrollo - acantosis nigricans,Q77.4,nombre_exacto,1.0,Código corregido de 0774 a Q774
,,Disostosis acrocraneofacial,Q87.0,41,Acrocraneofacial disostosis,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
,,Acroesquifodisplasia metafisaria,,43,Acroesquifodisplasia metafisaria,Q78.5,nombre_exacto,1.0,Código corregido de 0785 a Q785
,,Acromatopsia,H53.5,44,Acromatopsia,H53.5,nombre_exacto,1.0,
,,Acromegalia,E22.0,45,Acromegalia,E22.0,nombre_exacto,1.0,
,,Acromegalia,E22.0,46,Acromegalia cutis gyrata,M89.4,nombre_exacto,1.0,
,,Acromelanosis,L81.4,48,Acromelanosis,L81.4,nombre_exacto,1.0,
,,Adamantinoma,C40.2,50,Adamantinoma,C40.2,nombre_exacto,1.0,
,,Disqueratosis congénita,Q82.8,51,AD-DKC (Mutación en TERC),Q82.8,nombre_exacto,1.0,Código corregido de 0828 a Q828
,,Disqueratosis congénita,Q82.8,52,AD-DKC (Mutacion en TERT),Q93.4,nombre_exacto,1.0,Código corregido de 0934 a Q934
,,Disqueratosis congénita,Q82.8,53,AD-DKC (Mutacion en TINF2),D61.0,nombre_exacto,1.0,
,,Síndrome de hiper-IgE autosómico dominante por deficiencia de STAT3,D82.4,54,AD-HIES (Sindrome de Hiperlgp Sindrome Job,D82.4,nombre_exacto,1.0,
,,Adrenoleucodistrofia ligada al cromosoma X,E71.3,55,Adrenoleucodistrofia ligada al cromosoma X,E71.3,nombre_exacto,1.0,
,,Síndrome de afalangia-sindactilia-microcefalia,Q87.2,57,Afalangia sindactilia microcefalia,Q87.2,nombre_exacto,1.0,Código corregido de 0872 a Q872
,,Craneosinostosis,Q75.0,61,Agammaglobulinemia - microcefalia - craneosinostosis - dermatitis severa,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
,,Agammaglobulinemia,,62,Agammaglobulinemia ligada a X,D80.0,nombre_exacto,1.0,
,,Agenesia renal bilateral,Q60.1,68,Agenesia renal bilateral,Q80.0,nombre_exacto,1.0,Código corregido de 0800 a Q800
,,Agenesia traqueal,Q32.1,69,Agenesia traqueal,Q32.1,nombre_exacto,1.0,Código corregido de 0321 a Q321
,,Síndrome de hipoglosia-hipodactilia,Q87.2,70,Aglosia adactilia,Q87.2,nombre_exacto,1.0,Código corregido de 0872 a Q872
,,Holoprosencefalia,Q04.2,71,Agnatia holoprosencefalia situs inversus,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Albinismo ocular con sordera neurosensorial tardía,E70.3,72,Albinismo con sordera,H90.5,nombre_exacto,1.0,
,,"Albinismo cutáneo, fenotipo Hermine",E70.3,73,Albinismo cutáneo fenotipo Hermine,E70.3,nombre_exacto,1.0,
,,Albinismo ocular recesivo ligado al cromosoma X,E70.3,74,Albinismo ocular ligado al cromosoma X recesivo,E70.3,nombre_exacto,1.0,
,,Albinismo ocular,,75,Albinismo ocular sordera sensorial tardía,E70.3,nombre_exacto,1.0,
,,Albinismo oculo-cutáneo,,76,Albinismo oculo-cutáneo,E70.3,nombre_exacto,1.0,
,,Alcaptonuria,E70.2,77,Alcaptonuria -,E70.2,nombre_exacto,1.0,
,,Alfa talasemia,D56.0,78,Alfa talasemia - déficit intelectual ligado al cromosoma X,Q56.0,nombre_exacto,1.0,Código corregido de 0560 a Q560
,,Alfa-manosidosis,E77.1,79,Alfa-manosidosis,E77.1,nombre_exacto,1.0,
,,Síndrome linfoproliferativo autoinmune,D47.9,80,ALPS-CASP10,D47.9,nombre_exacto,1.0,
,,Síndrome linfoproliferativo autoinmune,D47.9,81,ALPS-FASLG,Q47.9,nombre_exacto,1.0,Código corregido de 0479 a Q479
,,Síndrome de amaurosis-hipertricosis,H35.5,82,Amaurosis — hipertricosis,H35.5,nombre_exacto,1.0,
,,Amelia autosómica recesiva,,85,"Amelia, autosómica recesiva",Q73.0,nombre_exacto,1.0,Código corregido de 0730 a Q730
,,Amiloidosis,E85.0,86,Amiloidosis secundaria,E85.3,nombre_exacto,1.0,
,,Amioplasia congénita,Q68.8,87,Amioplasia congénita,Q74.3,nombre_exacto,1.0,Código corregido de 0743 a Q743
,,Anadisplasia metafisaria,Q78.5,88,Anadisplasia metafisaria,Q78.5,nombre_exacto,1.0,Código corregido de 0785 a Q785
,,Analbuminemia congénita,E88.0,89,Analbuminemia congénita,R77.0,nombre_exacto,1.0,
,,OBSOLETO: Anemia de cuerpos de Heinz,,90,Anemia de cuerpos de Heinz,Q58.2,nombre_exacto,1.0,Código corregido de 0582 a Q582
,,Anemia de Fanconi,D61.0,91,Anemia de Fanconi,Q61.0,nombre_exacto,1.0,Código corregido de 0610 a Q610
,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,95,Anemia hemolitica por Déficit de adenilato quinasa,Q55.3,nombre_exacto,1.0,Código corregido de 0553 a Q553
,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,96,Anemia hemolitica por Déficit de glucosa fosfato isomerasa,Q55.2,nombre_exacto,1.0,Código corregido de 0552 a Q552
,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,97,Anemia hemolitica por Déficit de qlutation reductasa,Q55.1,nombre_exacto,1.0,Código corregido de 0551 a Q551
,,Hiperplasia suprarrenal congénita por deficiencia de citocromo P450 oxidoreductasa,E25.0,98,"Anemia hemolitica, no esferocitica, por Déficit de hexoquinasa",Q55.2,nombre_exacto,1.0,Código corregido de 0552 a Q552
,,Angioedema adquirido,,104,Angioedema adquirido,T78.3,nombre_exacto,1.0,
,,Angioedema hereditario,,105,Angioedema hereditario,Q84.1,nombre_exacto,1.0,Código corregido de 0841 a Q841
,,Síndrome WAGR,C64,110,Aniridia,Q13.1,nombre_exacto,1.0,Código corregido de 0131 a Q131
,,Síndrome de aniridia-agenesia renal-retraso psicomotor,Q87.8,111,Aniridia agenesia renal retraso psicomotor,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Hendidura labial con o sin paladar hendido,,125,Anomalias auriculares - fisura labial con o sin fisura palatina - anomalias oculares,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
,,Síndrome de anomalías cardíacas-heterotaxia,Q28.8,127,Anomalías cardíacas - heterotaxia,Q28.8,nombre_exacto,1.0,Código corregido de 0288 a Q288
,,Anoniquia con pigmentación de los pliegues de flexión,Q84.3,132,Anoniquia con pigmentación de los pliegues de flexión .,Q84.3,nombre_exacto,1.0,Código corregido de 0843 a Q843
,,Síndrome de anoniquia-microcefalia,Q87.8,133,Anoniquia microcefalia,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Anosmia congénita aislada,Q07.8,134,Anosmia congénita aislada,Q07.8,nombre_exacto,1.0,Código corregido de 0078 a Q078
,,Perforación intestinal espontánea,K63.1,137,Anquilosis del estribo con ailgar y dedo gordo del pie anchos,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
,,Anquilosis glosopalatina,Q38.3,138,Anquilosis glosopalatina,Q38.3,nombre_exacto,1.0,Código corregido de 0383 a Q383
,,Síndrome de aplasia cutis-miopía,Q84.8,140,Aplasia cutis — miopía,Q84.8,nombre_exacto,1.0,Código corregido de 0848 a Q848
,,Síndrome de aplasia cutis congénita-linfangiectasia intestinal,Q84.8,141,Aplasia cutis congénita - linfangiectasia intestinal,Q84.8,nombre_exacto,1.0,Código corregido de 0848 a Q848
,,Aplasia cutis congénita,Q84.8,142,Aplasia cutis congénita de miembros forma recesiva,Q84.8,nombre_exacto,1.0,Código corregido de 0848 a Q848
,,Síndrome de aplasia de peroné-ectrodactilia,Q73.8,143,Aplasia de peroné ectrodactilia,Q73.8,nombre_exacto,1.0,Código corregido de 0738 a Q738
