ORPHA_Number,ORPHA_URL,Nombre_Orphanet,CIE10_Orphanet,Numero_Colombia,Nombre_Colombia,CIE10_Colombia,Tipo_Match,Similitud,Observaciones_Colombia
293843,https://www.orpha.net/es/disease/detail/293843,Síndrome 3MC,Q87.8,1,3MC Sindrome de Deficiencia COLEC11,Q87.8,nombre_exacto,1.0,Código corregido de 0878 a Q878
6,https://www.orpha.net/es/disease/detail/6,Deficiencia de 3-metilcrotonil-CoA carboxilasa,E71.1,2,3-metilcrotonil glicinuria,E71.1,nombre_exacto,1.0,
929,https://www.orpha.net/es/disease/detail/929,Síndrome de acalasia-microcefalia,Q39.5,5,Sindrome de Acalasia microcefalia,Q39.5,nombre_exacto,1.0,Código corregido de 0395 a Q395
930,https://www.orpha.net/es/disease/detail/930,Acalasia idiopática,K22.0,6,Acalasia primaria,K22.0,nombre_exacto,1.0,
926,https://www.orpha.net/es/disease/detail/926,Acatalasemia,E80.3,7,Acatalasemia,E80.3,nombre_exacto,1.0,
48818,https://www.orpha.net/es/disease/detail/48818,Aceruloplasminemia,E83.1,8,Aceruloplasminemia,Q23.0,nombre_exacto,1.0,Código corregido de 0230 a Q230
33,https://www.orpha.net/es/disease/detail/33,Acidemia isovalérica,E71.1,14,Acidemia isovalérica,E71.1,nombre_exacto,1.0,
35,https://www.orpha.net/es/disease/detail/35,Acidemia propiónica,E71.1,21,Acidemia propiónica,E71.1,nombre_exacto,1.0,
550,https://www.orpha.net/es/disease/detail/550,MELAS,G71.3,23,Acidosis láctica,Q71.3,nombre_exacto,1.0,Código corregido de 0713 a Q713
24,https://www.orpha.net/es/disease/detail/24,Aciduria fumárica,E88.8,28,Aciduria fumárica,E88.8,nombre_exacto,1.0,
943,https://www.orpha.net/es/disease/detail/943,Aciduria malónica,E72.8,29,Aciduria malónica,E72.8,nombre_exacto,1.0,
26,https://www.orpha.net/es/disease/detail/26,Acidemia metilmalónica con homocistinuria,E71.1,30,Aciduria metilmalónica con homocistinuria,E71.1,nombre_exacto,1.0,
29,https://www.orpha.net/es/disease/detail/29,Aciduria mevalónica,E88.8,32,Aciduria mevalónica,E88.8,nombre_exacto,1.0,
932,https://www.orpha.net/es/disease/detail/932,Acondrogénesis,Q77.0,35,Acondrogénesis,Q77.0,nombre_exacto,1.0,Código corregido de 0770 a Q770
15,https://www.orpha.net/es/disease/detail/15,Acondroplasia,Q77.4,36,Acondroplasia,Q77.4,nombre_exacto,1.0,Código corregido de 0774 a Q774
15,https://www.orpha.net/es/disease/detail/15,Acondroplasia,Q77.4,37,Acondroplasia severa - retraso del desarrollo - acantosis nigricans,Q77.4,nombre_exacto,1.0,Código corregido de 0774 a Q774
949,https://www.orpha.net/es/disease/detail/949,Disostosis acrocraneofacial,Q87.0,41,Acrocraneofacial disostosis,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
1240,https://www.orpha.net/es/disease/detail/1240,Acroesquifodisplasia metafisaria,,43,Acroesquifodisplasia metafisaria,Q78.5,nombre_exacto,1.0,Código corregido de 0785 a Q785
49382,https://www.orpha.net/es/disease/detail/49382,Acromatopsia,H53.5,44,Acromatopsia,H53.5,nombre_exacto,1.0,
963,https://www.orpha.net/es/disease/detail/963,Acromegalia,E22.0,45,Acromegalia,E22.0,nombre_exacto,1.0,
963,https://www.orpha.net/es/disease/detail/963,Acromegalia,E22.0,46,Acromegalia cutis gyrata,M89.4,nombre_exacto,1.0,
39,https://www.orpha.net/es/disease/detail/39,Acromelanosis,L81.4,48,Acromelanosis,L81.4,nombre_exacto,1.0,
55881,https://www.orpha.net/es/disease/detail/55881,Adamantinoma,C40.2,50,Adamantinoma,C40.2,nombre_exacto,1.0,
1775,https://www.orpha.net/es/disease/detail/1775,Disqueratosis congénita,Q82.8,51,AD-DKC (Mutación en TERC),Q82.8,nombre_exacto,1.0,Código corregido de 0828 a Q828
1775,https://www.orpha.net/es/disease/detail/1775,Disqueratosis congénita,Q82.8,52,AD-DKC (Mutacion en TERT),Q93.4,nombre_exacto,1.0,Código corregido de 0934 a Q934
1775,https://www.orpha.net/es/disease/detail/1775,Disqueratosis congénita,Q82.8,53,AD-DKC (Mutacion en TINF2),D61.0,nombre_exacto,1.0,
2314,https://www.orpha.net/es/disease/detail/2314,Síndrome de hiper-IgE autosómico dominante por deficiencia de STAT3,D82.4,54,AD-HIES (Sindrome de Hiperlgp Sindrome Job,D82.4,nombre_exacto,1.0,
43,https://www.orpha.net/es/disease/detail/43,Adrenoleucodistrofia ligada al cromosoma X,E71.3,55,Adrenoleucodistrofia ligada al cromosoma X,E71.3,nombre_exacto,1.0,
1113,https://www.orpha.net/es/disease/detail/1113,Síndrome de afalangia-sindactilia-microcefalia,Q87.2,57,Afalangia sindactilia microcefalia,Q87.2,nombre_exacto,1.0,Código corregido de 0872 a Q872
1531,https://www.orpha.net/es/disease/detail/1531,Craneosinostosis,Q75.0,61,Agammaglobulinemia - microcefalia - craneosinostosis - dermatitis severa,Q87.0,nombre_exacto,1.0,Código corregido de 0870 a Q870
183669,https://www.orpha.net/es/disease/detail/183669,Agammaglobulinemia,,62,Agammaglobulinemia ligada a X,D80.0,nombre_exacto,1.0,
