numero_colombia,nombre_colombia,encontrado,orpha_number,orpha_url,nombre_orphanet,codigos_cie10_orphanet,metodo_encontrado,similitud_nombre,error,codigo_cie10_colombia,observaciones_colombia
300,Condrodisplasia metafisaria tipo Kaitila,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q785,Código corregido de 0785 a Q785
301,Condrodisplasia punctata ligada al cromosoma X dominante,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q773,Código corregido de 0773 a Q773
302,"Condrodisplasia punctata, tipo rizoméfico",False,,,,[],,0,No encontrado por ningún método de búsqueda,Q773,Código corregido de 0773 a Q773
303,Condrodisplasia recesiva letal,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q788,Código corregido de 0788 a Q788
304,Condrodisplasia tipo Blomstrand,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q788,Código corregido de 0788 a Q788
305,Conjuntivitis leñosa,False,,,,[],,0,No encontrado por ningún método de búsqueda,H104,
306,Conodisplasia craneofacial,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q875,Código corregido de 0875 a Q875
307,Contracturas displasia ectodérmica fisura labio palatina,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q878,Código corregido de 0878 a Q878
308,Convulsiones - Déficit intelectual debido a hidroxilsinuria,False,,,,[],,0,No encontrado por ningún método de búsqueda,E723,
309,Convulsiones neonatales-infantiles familiares benignas,False,,,,[],,0,No encontrado por ningún método de búsqueda,G404,
310,Cordoma,False,,,,[],,0,No encontrado por ningún método de búsqueda,C767,
311,Coroidea atrofia alopecia,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q828,Código corregido de 0828 a Q828
312,Coroideremia,False,,,,[],,0,No encontrado por ningún método de búsqueda,H312,
313,Coroideremia - obesidad - sordera,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q878,Código corregido de 0878 a Q878
314,Cráneo ectodérmica displasia,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q875,Código corregido de 0875 a Q875
315,Cráneo-osteo-artropatia,False,,,,[],,0,No encontrado por ningún método de búsqueda,M894,
316,Craneoraquisquisis,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q001,
317,Craneosinostosis - enfermedad cardiaca congénita - Déficit intelectual,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q878,Código corregido de 0878 a Q878
318,Craneosinostosis - hidrocefalia - malformación de Chiari I - sinostosis radioulnar,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q878,Código corregido de 0878 a Q878
319,Craneosinostosis alopecia ventriculo cerebral anormal,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q078,Código corregido de 0078 a Q078
320,Craneosinostosis aplasia de peroné,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q872,Código corregido de 0872 a Q872
321,Craneosinostosis aplasia radial tipo lmaizumi,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q878,Código corregido de 0878 a Q878
322,Craneosinostosis braquidactilia,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q870,Código corregido de 0870 a Q870
323,Craneosinostosis calcificaciones intracraneales,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q870,Código corregido de 0870 a Q870
324,Craneosinostosis tipo Boston,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q758,Código corregido de 0758 a Q758
325,Craneosinostosis tipo Philadelphia,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q870,Código corregido de 0870 a Q870
326,Craniorrinia,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q308,Código corregido de 0308 a Q308
327,Craniosinostosis - malformación de Dandy-Walker - hidrocefalia,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q031,Código corregido de 0031 a Q031
328,Crecimiento excesivo - deficiencia de aprendizaje,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q828,Código corregido de 0828 a Q828
329,Crioqlobulinemia mixta,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q891,Código corregido de 0891 a Q891
330,Criohidrodtosis hereditaria con estomatina reducida,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q588,Código corregido de 0588 a Q588
331,Criptomicrotia braquidactilia anomalias de dermatoqlifos,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q878,Código corregido de 0878 a Q878
332,Cromosoma 1 en anillo,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q932,Código corregido de 0932 a Q932
333,Cromosoma 10 en anillo,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q932,Código corregido de 0932 a Q932
334,Cromosoma 14 en anillo,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q932,Código corregido de 0932 a Q932
335,Cromosoma 17 en anillo,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q932,Código corregido de 0932 a Q932
336,Cromosoma 18 en anillo,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q932,Código corregido de 0932 a Q932
337,Cromosoma 20 en anillo,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q932,Código corregido de 0932 a Q932
